hhid,cellphone,wealth,size,education_years,education_other,bank_acct,mattress,sacco,merry,mean_sent_nm,number_sent_nm,totsent_nm,number_sent_m,totsent_m,sendd,number_sent,totsent,mean_recd_nm,totrecd_nm,number_recd_nm,totrecd_m,number_recd_m,recdd,mean_recd,totrecd,number_recd,netremit,mpesa_user,round,weight,mean_sentdist_nm,mean_sentdist_m,mean_sentdist,mean_recddist_nm,mean_recddist_m,mean_recddist,frac_recd,period,agents1,agents2,agents5,agents10,agents20,agents_d,totexp,ltotexp,totexppc,ltotexppc,wkexppc,lwkexppc,totexppc_nomed,ltotexppc_nomed,lwealth,rural,province,district,location,village,totrecd_c,totsent_c,totrecd2,networksize,mean_recd2,occ_farmer,occ_public,occ_prof,occ_help,occ_ue,occ_bus,occ_sales,occ_ind,occ_other,lagents_d,agents1s,agents2s,agents5s,agents10s,agents20s,neg,sick,ag,pos,user_neg,user_sick,agents1s_neg,agents1s_sick,agents2s_neg,agents2s_sick,agents5s_neg,agents5s_sick,agents10s_neg,agents10s_sick,agents20s_neg,agents20s_sick,lagents_d_neg,lagents_d_sick,distance,panel,mpesa_status,lowattrit,wealthtile,d1,d2,d3,d4,d5,false,lmean_recddist,ldistance,urban,mweight
1649034,1,202600,1,3,0,"no","no","no","no",,0,,1,1000,1,1,1000,,,,,,0,0,0,0,-1000,"yes",3,4.07243,,,,,,,0,2,2,10,10,10,11,.9658203,150808,11.92376,150808,11.92376,68640,11.13663,150808,11.92376,12.21899,0,"rift valley",701,1,1,0,.0066309,0,0,0,0,0,0,0,0,0,0,0,1,6.872978,1.414214,3.162278,3.162278,3.162278,3.316625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,"Join",1,4,0,0,0,0,1,0,,,1,4.305487
1649056,0,13300,5,8,0,"no","yes","no","yes",,,,,,0,0,0,,,,,,0,0,0,0,0,"no",2,4.07243,,,,,,,,2,0,6,6,6,6,1.049958,169332,12.03962,33866.4,10.43018,15246.4,9.632099,32426.4,10.38673,9.49552,0,"rift valley",701,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.956505,0,2.44949,2.44949,2.44949,2.44949,1,0,0,0,0,0,0,0,2.44949,0,2.44949,0,2.44949,0,2.44949,0,6.956505,0,,1,"Non M-PESA",1,2,.4,.2,.2,.2,0,,,,1,4.006307
1649063,1,149700,5,0,1,"no","no","yes","yes",,0,,6,6000,1,6,6000,,,,,,0,0,0,0,-6000,"yes",2,4.07243,,720,720,,,,0,2,0,6,6,6,6,1.062173,180364,12.10273,36072.8,10.49329,15194.4,9.628682,36072.8,10.49329,11.91639,0,"rift valley",701,1,1,0,.0332661,0,0,0,0,0,1,0,0,0,0,0,0,6.968072,0,2.44949,2.44949,2.44949,2.44949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,"Join",1,4,.6,0,.2,.2,0,,,,1,3.904419
1649041,1,20000,5,12,0,"no","yes","no","no",,,,,,0,0,0,4000,4000,1,12500,4,1,3300,16500,5,16500,"yes",2,4.07243,,,,370,370,370,.2857143,2,0,6,6,6,6,1.031492,108160,11.59137,21632,9.981929,9412,9.149741,20912,9.948078,9.903487,0,"rift valley",701,1,1,.1525518,0,128.4523,2,57.44563,0,0,1,0,0,0,0,0,0,6.938761,0,2.44949,2.44949,2.44949,2.44949,1,1,0,0,1,1,0,0,2.44949,2.44949,2.44949,2.44949,2.44949,2.44949,2.44949,2.44949,6.938761,6.938761,215.49448,1,"M-PESA",1,3,.4,.2,.2,.2,0,,5.913503,5.372935,1,4.054456
1649012,1,31000,5,0,0,"yes","yes","no","no",,,,,,0,0,0,,,,,,0,0,0,0,0,"yes",2,4.07243,,,,,,,,2,3,6,6,6,6,.8785238,149240,11.91331,29848,10.30387,15236,9.631416,29848,10.30387,10.34174,0,"rift valley",701,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.778243,1.732051,2.44949,2.44949,2.44949,2.44949,1,0,0,0,1,0,1.732051,0,2.44949,0,2.44949,0,2.44949,0,2.44949,0,6.778243,0,,1,"Join",1,2,0,0,.2,.4,.2,1,,,1,3.706399
1649049,1,20300,3,12,0,"no","yes","no","yes",,,,,,0,0,0,,,,,,0,0,0,0,0,"no",2,4.07243,,,,,,,0,2,0,6,6,6,6,1.011194,73640,11.20694,24546.67,10.10833,15773.33,9.666076,23546.67,10.06674,9.918376,0,"rift valley",701,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.918887,0,2.44949,2.44949,2.44949,2.44949,1,1,0,0,0,0,0,0,2.44949,2.44949,2.44949,2.44949,2.44949,2.44949,2.44949,2.44949,6.918887,6.918887,,1,"Non M-PESA",1,1,0,.3333333,.3333333,.3333333,0,1,,,1,4.108763
1649070,1,167500,3,12,0,"yes","yes","yes","yes",,0,,7,20000,1,7,20000,,,,,,0,0,0,0,-20000,"yes",2,4.07243,,91.42857,91.42857,,,,0,2,0,6,6,6,6,1.027635,182628,12.11521,60876,11.01659,16362.67,9.702758,59876,11.00003,12.02874,0,"rift valley",701,1,1,0,.1095122,0,0,0,0,0,0,0,1,0,0,0,0,6.935015,0,2.44949,2.44949,2.44949,2.44949,1,1,0,0,1,1,0,0,2.44949,2.44949,2.44949,2.44949,2.44949,2.44949,2.44949,2.44949,6.935015,6.935015,,1,"M-PESA",1,1,0,.3333333,0,.3333333,.3333333,,,,1,4.35564
1649005,1,20120,3,12,0,"yes","yes","no","no",,,,,,0,0,0,,,,,,0,0,0,0,0,"yes",2,4.07243,,,,,,,0,2,4,6,6,6,6,.8404501,152936,11.93777,50978.67,10.83916,24405.33,10.10256,48978.67,10.79914,9.90947,0,"rift valley",701,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.733938,2,2.44949,2.44949,2.44949,2.44949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,"M-PESA",1,3,.3333333,0,.3333333,.3333333,0,,,,1,4.092998
1649027,1,69100,4,8,0,"no","yes","no","yes",,0,,1,1000,1,1,1000,,,,,,0,0,0,0,-1000,"yes",2,4.07243,,40,40,,,,0,2,2,6,6,6,6,.87708,191432,12.16229,47858,10.77599,26078,10.16885,44858,10.71126,11.14331,0,"rift valley",701,1,1,0,.0052238,0,0,0,1,0,0,0,0,0,0,0,0,6.776598,1.414214,2.44949,2.44949,2.44949,2.44949,1,0,0,0,1,0,1.414214,0,2.44949,0,2.44949,0,2.44949,0,2.44949,0,6.776598,0,,1,"Join",1,2,.25,.25,.25,.25,0,1,,,1,4.204509
1650104,1,17700,8,7,0,"no","no","no","yes",,,,,,0,0,0,,,,,,0,0,0,0,0,"no",3,4.07243,,,,,,,0,2,0,0,10,10,11,2.01798,78700,11.2734,9837.5,9.193957,7247.5,8.888412,9837.5,9.193957,9.78132,0,"rift valley",701,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.609852,0,0,3.162278,3.162278,3.316625,1,0,1,0,0,0,0,0,0,0,3.162278,0,3.162278,0,3.316625,0,7.609852,0,,1,"Leave",1,2,.25,.375,.125,.125,.125,1,,,1,3.668705
1650093,0,1000,4,0,0,"no","yes","no","no",,,,,,0,0,0,,,,,,0,0,0,0,0,"no",2,4.07243,,,,,,,,2,0,0,6,6,6,2.189933,34656,10.45323,8664,9.066932,5694,8.647168,7764,8.957253,6.907755,0,"rift valley",701,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.691626,0,0,2.44949,2.44949,2.44949,1,1,0,0,0,0,0,0,0,0,2.44949,2.44949,2.44949,2.44949,2.44949,2.44949,7.691626,7.691626,,1,"Non M-PESA",1,1,0,.75,0,.25,0,,,,1,3.93234
